FName=ANDRE
LName=LURSON
ID=LURSOAN#54214
Exam.Date=30_11_2011
View=4CH
2DS Date=2013_05_28
Knot positions (X:Y) in mm (relative to probe position)
FR= 49 Left Marker Time=0.123000 Right Marker Time=0.861000 ES Time=0.471000
Num Frames:  Knots:
        49       33
-10.59,  135.63,-11.57,  132.84,-12.55,  130.06,-13.52,  127.27,-14.50,  124.49,-15.47,  121.71,-16.46,  118.90,-17.45,  116.07,-18.43,  113.20,-19.37,  110.29,-20.23,  107.34,-20.97,  104.35,-21.54,  101.34,-21.92,  98.33,-22.08,  95.33,-22.01,  92.36,-21.76,  89.42,-21.36,  86.51,-20.86,  83.62,-20.34,  80.73,-19.84,  77.82,-19.39,  74.89,-18.99,  71.94,-18.61,  68.98,-18.20,  66.05,-17.72,  63.14,-17.14,  60.28,-16.42,  57.46,-15.59,  54.67,-14.63,  51.90,-13.58,  49.15,-12.46,  46.39,-11.30,  43.64,
-10.67,  135.93,-11.64,  133.15,-12.60,  130.37,-13.57,  127.59,-14.53,  124.81,-15.50,  122.03,-16.48,  119.23,-17.46,  116.41,-18.44,  113.54,-19.38,  110.63,-20.26,  107.68,-21.01,  104.70,-21.61,  101.69,-22.02,  98.67,-22.21,  95.65,-22.18,  92.67,-21.95,  89.72,-21.57,  86.79,-21.10,  83.89,-20.59,  80.99,-20.09,  78.07,-19.65,  75.13,-19.26,  72.17,-18.89,  69.20,-18.50,  66.24,-18.04,  63.31,-17.47,  60.42,-16.78,  57.57,-15.95,  54.75,-15.00,  51.95,-13.95,  49.17,-12.83,  46.39,-11.66,  43.61,
-10.91,  136.11,-11.87,  133.34,-12.84,  130.57,-13.81,  127.80,-14.77,  125.04,-15.74,  122.27,-16.71,  119.48,-17.69,  116.67,-18.67,  113.81,-19.62,  110.91,-20.51,  107.96,-21.28,  104.97,-21.90,  101.96,-22.33,  98.92,-22.54,  95.89,-22.54,  92.89,-22.33,  89.92,-21.96,  86.98,-21.49,  84.07,-20.98,  81.17,-20.49,  78.26,-20.05,  75.32,-19.66,  72.36,-19.30,  69.39,-18.92,  66.43,-18.47,  63.48,-17.91,  60.57,-17.23,  57.69,-16.40,  54.85,-15.46,  52.03,-14.41,  49.24,-13.29,  46.45,-12.12,  43.66,
-11.21,  136.05,-12.19,  133.29,-13.16,  130.54,-14.14,  127.79,-15.11,  125.04,-16.08,  122.28,-17.06,  119.52,-18.05,  116.72,-19.03,  113.88,-19.99,  110.99,-20.88,  108.05,-21.66,  105.07,-22.29,  102.05,-22.73,  99.01,-22.96,  95.97,-22.96,  92.95,-22.76,  89.97,-22.40,  87.03,-21.93,  84.13,-21.43,  81.24,-20.95,  78.35,-20.51,  75.44,-20.13,  72.50,-19.77,  69.54,-19.40,  66.58,-18.96,  63.63,-18.41,  60.71,-17.74,  57.82,-16.93,  54.97,-15.99,  52.15,-14.95,  49.35,-13.83,  46.56,-12.66,  43.77,
-11.31,  135.86,-12.31,  133.11,-13.31,  130.36,-14.30,  127.61,-15.29,  124.87,-16.28,  122.13,-17.28,  119.37,-18.28,  116.58,-19.28,  113.75,-20.25,  110.87,-21.15,  107.94,-21.95,  104.97,-22.60,  101.95,-23.05,  98.91,-23.29,  95.86,-23.30,  92.84,-23.12,  89.86,-22.77,  86.93,-22.32,  84.04,-21.84,  81.18,-21.38,  78.32,-20.96,  75.45,-20.59,  72.55,-20.25,  69.62,-19.90,  66.68,-19.48,  63.75,-18.97,  60.83,-18.32,  57.95,-17.53,  55.10,-16.62,  52.28,-15.60,  49.49,-14.50,  46.71,-13.35,  43.95,
-11.13,  135.62,-12.15,  132.86,-13.16,  130.10,-14.18,  127.35,-15.19,  124.61,-16.20,  121.86,-17.23,  119.10,-18.26,  116.31,-19.28,  113.49,-20.28,  110.61,-21.21,  107.69,-22.04,  104.72,-22.71,  101.71,-23.19,  98.67,-23.45,  95.63,-23.49,  92.61,-23.33,  89.63,-23.01,  86.71,-22.60,  83.84,-22.16,  81.01,-21.74,  78.18,-21.37,  75.34,-21.03,  72.48,-20.73,  69.60,-20.41,  66.69,-20.03,  63.78,-19.55,  60.88,-18.94,  58.00,-18.19,  55.16,-17.31,  52.35,-16.32,  49.57,-15.24,  46.82,-14.11,  44.09,
-10.98,  135.30,-12.01,  132.54,-13.04,  129.78,-14.06,  127.03,-15.09,  124.28,-16.12,  121.54,-17.16,  118.78,-18.21,  116.00,-19.26,  113.18,-20.27,  110.31,-21.22,  107.40,-22.07,  104.44,-22.75,  101.44,-23.25,  98.42,-23.52,  95.38,-23.58,  92.37,-23.44,  89.41,-23.15,  86.50,-22.77,  83.64,-22.37,  80.83,-21.98,  78.03,-21.64,  75.23,-21.34,  72.40,-21.07,  69.54,-20.78,  66.66,-20.44,  63.77,-20.00,  60.87,-19.42,  58.00,-18.71,  55.15,-17.86,  52.35,-16.89,  49.58,-15.83,  46.85,-14.71,  44.14,
-11.05,  134.94,-12.10,  132.19,-13.15,  129.45,-14.20,  126.72,-15.24,  123.99,-16.30,  121.26,-17.36,  118.52,-18.42,  115.75,-19.48,  112.95,-20.51,  110.10,-21.47,  107.19,-22.32,  104.24,-23.01,  101.23,-23.50,  98.20,-23.77,  95.16,-23.82,  92.14,-23.67,  89.17,-23.38,  86.27,-23.00,  83.42,-22.59,  80.62,-22.21,  77.84,-21.88,  75.05,-21.58,  72.24,-21.32,  69.40,-21.03,  66.53,-20.69,  63.64,-20.25,  60.75,-19.68,  57.87,-18.97,  55.02,-18.12,  52.22,-17.14,  49.46,-16.06,  46.75,-14.93,  44.06,
-11.15,  134.49,-12.25,  131.77,-13.36,  129.06,-14.46,  126.35,-15.55,  123.65,-16.65,  120.95,-17.74,  118.24,-18.84,  115.50,-19.92,  112.72,-20.95,  109.88,-21.91,  106.98,-22.75,  104.02,-23.42,  101.01,-23.89,  97.96,-24.12,  94.90,-24.14,  91.86,-23.95,  88.88,-23.62,  85.97,-23.21,  83.12,-22.79,  80.32,-22.39,  77.55,-22.04,  74.77,-21.73,  71.97,-21.44,  69.13,-21.14,  66.27,-20.78,  63.39,-20.32,  60.50,-19.72,  57.63,-18.99,  54.80,-18.11,  52.01,-17.10,  49.28,-15.98,  46.59,-14.81,  43.94,
-11.13,  133.97,-12.29,  131.27,-13.44,  128.59,-14.58,  125.90,-15.72,  123.23,-16.85,  120.55,-17.98,  117.86,-19.10,  115.15,-20.20,  112.38,-21.25,  109.56,-22.21,  106.66,-23.03,  103.70,-23.69,  100.68,-24.13,  97.61,-24.33,  94.54,-24.31,  91.49,-24.08,  88.50,-23.72,  85.58,-23.28,  82.74,-22.84,  79.95,-22.42,  77.18,-22.05,  74.40,-21.73,  71.61,-21.43,  68.78,-21.10,  65.92,-20.71,  63.04,-20.21,  60.17,-19.58,  57.32,-18.81,  54.50,-17.89,  51.74,-16.83,  49.04,-15.66,  46.40,-14.44,  43.79,
